task,regime,league,model_family,n_train,n_val,best_params,auc,pr_auc,log_loss,brier,ece,precision_at_k,error
bracket,separate,WBB,decision_tree,57575,11010,"{""clf__min_samples_leaf"": 1, ""clf__max_depth"": 5}",0.8736649030227204,,0.4223172990412388,0.13765570261961296,0.012808693127372879,,
bracket,separate,WBB,random_forest,57575,11010,"{""clf__n_estimators"": 300, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": 8}",0.8788984105743416,,0.4163688116377745,0.13524640780915004,0.01622457984513413,,
bracket,separate,WBB,extra_trees,57575,11010,"{""clf__n_estimators"": 500, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": null}",0.8799611937183106,,0.43951822703703947,0.14014299174975864,0.06622511391994787,,
bracket,separate,WBB,adaboost,57575,11010,"{""clf__n_estimators"": 200, ""clf__learning_rate"": 1.0}",0.876123735581112,,0.5538457767333351,0.18316820172397846,0.18915546073866807,,
bracket,separate,WBB,grad_boost,57575,11010,"{""clf__n_estimators"": 200, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.03}",0.8788385604072871,,0.41840823741703903,0.13534768623571378,0.01498565028647384,,
bracket,separate,WBB,xgb_style_hgb,57575,11010,"{""clf__max_iter"": 200, ""clf__max_depth"": 3, ""clf__learning_rate"": 0.03}",0.8796156209785956,,0.41424955687569054,0.1349188936405463,0.011604562227226996,,
bracket,separate,WBB,knn,57575,11010,"{""clf__weights"": ""distance"", ""clf__n_neighbors"": 55}",0.8742463704149503,,0.4350245788595587,0.1373927457230064,0.011195453146715929,,
bracket,separate,WBB,gaussian_nb,57575,11010,{},0.8718257144719935,,0.5864979616024341,0.1583179553333482,0.10711207404689049,,
bracket,separate,WBB,lda,57575,11010,{},0.8788143016117651,,0.4153763690200209,0.13507265088558532,0.012644571087896279,,
bracket,separate,WBB,qda,57575,11010,{},0.8747081905945215,,0.507054963310686,0.14507513757581994,0.07145097049629212,,
bracket,separate,WBB,perceptron,57575,11010,"{""clf__alpha"": 1e-06}",0.8652944144813889,,0.940210182871318,0.20073057769343597,0.19214263662891753,,
bracket,separate,WBB,mlp,57575,11010,"{""clf__hidden_layer_sizes"": [64], ""clf__alpha"": 0.004641588833612777}",0.880251166006975,,0.4133154186821865,0.1346162232592315,0.014410896111055858,,
bracket,separate,WBB,xgboost,57575,11010,{},0.8796578171170839,,0.4128246447415951,0.13470199987653067,0.007525287103225092,,
bracket,separate,WBB,probit_proxy,57575,11010,{},0.8801121648793483,,0.4131105276818147,0.13450920922369883,0.01182731364743879,,
bracket,separate,WBB,autoencoder_proxy_mlp,57575,11010,{},0.8797447415165133,,0.41262591510290353,0.13481737417422054,0.01308218214057307,,
