task,league,regime,model,auc,pr_auc,log_loss,brier,ece,precision_at_k,recall_at_k,split_id
selection,Combined,ablation,S2_elo,0.9999352734051368,0.9997311356080443,0.029376594336203852,0.007192173020987619,0.019792162971595213,0.9852941176470589,0.9852941176470589,5.0
selection,Combined,ablation,S3_sos,0.9999352734051367,0.9997311356080443,0.029406080631638486,0.007201000593459095,0.019813128732493284,0.9852941176470589,0.9852941176470589,5.0
selection,Combined,ablation,S4_efficiency,0.9999352734051367,0.999731135608044,0.02941266599370851,0.007195699852456222,0.019845934071745206,0.9852941176470589,0.9852941176470589,5.0
selection,Combined,ablation,S5_recency,0.9999352734051367,0.999731135608044,0.029433794497161377,0.007201523690401375,0.019853416999136793,0.9852941176470589,0.9852941176470589,5.0
selection,Combined,ablation,S6_conference,0.999686076014913,0.9987572165464655,0.02836586781647079,0.0069929798296777266,0.015584489936754637,0.9779411764705882,0.9779411764705882,5.0
selection,Combined,ablation,S1_winpct,0.7129010695187167,0.37758801385555496,0.44883535436482885,0.14221804194344378,0.01730609554951119,0.3713235294117647,0.3713235294117647,6.0
selection,Combined,ablation,S2_elo,0.999941019188424,0.9997573940271698,0.02857033884186864,0.007052559715945635,0.01898947352808051,0.9926470588235294,0.9926470588235294,6.0
selection,Combined,ablation,S3_sos,0.999941019188424,0.99975739402717,0.028583122579941653,0.007052495626844467,0.019554010889477686,0.9926470588235294,0.9926470588235294,6.0
selection,Combined,ablation,S4_efficiency,0.999941019188424,0.9997573940271699,0.028589742428521997,0.007053139247708218,0.018975016546393615,0.9926470588235294,0.9926470588235294,6.0
selection,Combined,ablation,S5_recency,0.9999344657649156,0.9997307066463023,0.028594294124906234,0.007060504790647262,0.01893616985822511,0.9889705882352942,0.9889705882352942,6.0
selection,Combined,ablation,S6_conference,0.9998099507182552,0.9992407255728681,0.02692684070737227,0.006567071090109638,0.014852843300218582,0.9852941176470589,0.9852941176470589,6.0
selection,Combined,ablation,S1_winpct,0.7182677068177094,0.3758064653028052,0.4462167458295061,0.14075923625394468,0.015331221852197603,0.4117647058823529,0.4117647058823529,7.0
selection,Combined,ablation,S2_elo,0.9999382924547912,0.9997435205532519,0.02755614871189422,0.0068101053829189495,0.01877104610830873,0.9926470588235294,0.9926470588235294,7.0
selection,Combined,ablation,S3_sos,0.999938292454791,0.9997435205532519,0.02761899142560263,0.006827068540127772,0.01880885121953748,0.9926470588235294,0.9926470588235294,7.0
selection,Combined,ablation,S4_efficiency,0.9999415402203283,0.9997571367332311,0.02762214110515336,0.006823318432124373,0.018245998298167088,0.9926470588235294,0.9926470588235294,7.0
selection,Combined,ablation,S5_recency,0.9999415402203283,0.9997571367332311,0.027550396615034407,0.006811164989439224,0.01818157065724907,0.9926470588235294,0.9926470588235294,7.0
selection,Combined,ablation,S6_conference,0.9998343639575972,0.99932712041899,0.025861060574725918,0.006282593656678109,0.01472084453702003,0.9852941176470589,0.9852941176470589,7.0
selection,Combined,ablation,S1_winpct,0.7608607229341136,0.4223116097845263,0.41926023324828404,0.13216211241130774,0.02592694017597087,0.4411764705882353,0.4411764705882353,8.0
selection,Combined,ablation,S2_elo,0.9999243265059026,0.999676160154841,0.026415270921251895,0.006493102072875045,0.017326799839260044,0.9852941176470589,0.9852941176470589,8.0
selection,Combined,ablation,S3_sos,0.9999211734436485,0.9996622866809232,0.026493605639221266,0.006514237904677337,0.01738340808658349,0.9852941176470589,0.9852941176470589,8.0
selection,Combined,ablation,S4_efficiency,0.9999180203813944,0.9996485175188392,0.026482412040922717,0.006501784127892027,0.017381404473033348,0.9852941176470589,0.9852941176470589,8.0
selection,Combined,ablation,S5_recency,0.9999211734436485,0.9996618359118072,0.02650406956109476,0.006508155800458281,0.01670471325503104,0.9889705882352942,0.9889705882352942,8.0
selection,Combined,ablation,S6_conference,0.9997950509534861,0.9991532764682562,0.02484940815126357,0.006052190150225876,0.01382458412813606,0.9816176470588235,0.9816176470588235,8.0
selection,Combined,ablation,S1_winpct,0.7887986646958614,0.4470027430652063,0.4061785930706619,0.12816842466580314,0.044314130014096974,0.47794117647058826,0.47794117647058826,9.0
selection,Combined,ablation,S2_elo,0.9999185790159335,0.9996517849029098,0.02536639105030544,0.006200408773836796,0.016463410200469073,0.9852941176470589,0.9852941176470589,9.0
selection,Combined,ablation,S3_sos,0.9999217105922437,0.9996656062209108,0.025446181818151222,0.006222261700202379,0.016532233749456338,0.9852941176470589,0.9852941176470589,9.0
selection,Combined,ablation,S4_efficiency,0.9999248421685539,0.9996792224008899,0.02546808352576856,0.00620924878484597,0.01655267154051395,0.9852941176470589,0.9852941176470589,9.0
selection,Combined,ablation,S5_recency,0.9999217105922438,0.9996665126906714,0.02543587834437967,0.006213861420933774,0.016498675711313457,0.9852941176470589,0.9852941176470589,9.0
selection,Combined,ablation,S6_conference,0.9998590790660387,0.9994104168784474,0.023282665190628597,0.005504633600817876,0.013511437225601858,0.9852941176470589,0.9852941176470589,9.0
selection,Combined,ablation,S1_winpct,0.8071165966386555,0.46729237602672713,0.3967690671630437,0.12505175955426656,0.04682855104404696,0.5110294117647058,0.5110294117647058,10.0
selection,Combined,ablation,S2_elo,0.9999093387354943,0.9996135638882294,0.024758023880915764,0.0060569519323834305,0.015785758744622423,0.9852941176470589,0.9852941176470589,10.0
selection,Combined,ablation,S3_sos,0.999906212484994,0.9996006256297896,0.02481138007131657,0.0060743812494036455,0.015829668097585462,0.9852941176470589,0.9852941176470589,10.0
selection,Combined,ablation,S4_efficiency,0.9998999599839936,0.9995735831333679,0.024910898239474805,0.0060999358085392615,0.01553401045162632,0.9852941176470589,0.9852941176470589,10.0
selection,Combined,ablation,S5_recency,0.9998999599839936,0.9995733258394291,0.024793471418684425,0.006072145728474589,0.015774182701743168,0.9852941176470589,0.9852941176470589,10.0
selection,Combined,ablation,S6_conference,0.999921843737495,0.9996678616148794,0.022433967413926937,0.005242528508468532,0.014069589215856057,0.9889705882352942,0.9889705882352942,10.0
selection,MBB,ablation,S1_winpct,0.7571126065267095,0.4364440980591755,0.4222261731080349,0.13385870092040938,0.01428549386597034,0.45588235294117646,0.45588235294117646,0.0
selection,MBB,ablation,S2_elo,0.9999999999999999,1.0,0.04548702130204341,0.011189330210382284,0.03548202174277587,1.0,1.0,0.0
selection,MBB,ablation,S3_sos,1.0,0.9999999999999999,0.04532949590857404,0.011096244488483283,0.03304103417820542,1.0,1.0,0.0
selection,MBB,ablation,S4_efficiency,1.0,0.9999999999999999,0.04536000222641167,0.01110746738997005,0.03305186069213649,1.0,1.0,0.0
selection,MBB,ablation,S5_recency,1.0,0.9999999999999999,0.045410879318011584,0.011122272365877216,0.033123835105712894,1.0,1.0,0.0
selection,MBB,ablation,S6_conference,0.9994543753897319,0.9978393096171037,0.04022732522307934,0.009509704883645501,0.02516180302689742,0.9705882352941176,0.9705882352941176,0.0
selection,MBB,ablation,S1_winpct,0.7505651112034919,0.4442739637490508,0.4255535849461466,0.13423092105031953,0.02177436098159335,0.4632352941176471,0.4632352941176471,1.0
selection,MBB,ablation,S2_elo,1.0,1.0,0.04328851169505644,0.01062959962626712,0.03367148141691701,1.0,1.0,1.0
selection,MBB,ablation,S3_sos,1.0,0.9999999999999999,0.04306459574119234,0.010510361511728834,0.031225472115321555,1.0,1.0,1.0
